Name,ADP,Drafts,Min,Max
Samuel Chukwueze,147.0,1,147,147
Moises Caicedo,147.1,10,122,171
Kobbie Mainoo,147.4,9,113,181
Valentino Livramento,147.5,2,140,155
Trai Hume,148.4,7,105,173
Destiny Udogie,149.0,5,126,184
Bobby Thomas,149.0,8,110,180
Dwight McNeil,149.0,2,141,157
Alexis Mac Allister,149.1,8,120,180
Diogo Dalot,151.0,7,121,174
Mathias Jensen,151.0,7,125,191
Jake O'Brien,151.5,2,148,155
Dejan Kulusevski,151.8,9,132,190
Ben Doak,152.0,1,152,152
Tijjani Reijnders,152.0,2,145,159
Lucas Bergvall,153.0,1,153,153
Rodri,153.3,7,135,183
Jordan Pickford,153.8,11,120,184
Nathan Collins,154.2,9,120,187
Andrew Robertson,154.8,6,137,179
Christian Walton,155.0,1,155,155
James Justin,155.0,3,142,175
H. Wright,155.0,1,155,155
Dan Burn,155.5,2,138,173
Gabriel Martinelli,155.6,9,143,175
Cristhian Mosquera,155.8,5,121,177
Emiliano Buendia,156.0,7,143,189
Jacob Murphy,157.0,1,157,157
Jorgen Strand Larsen,157.0,1,157,157
Djordje Petrovic,157.7,9,126,191
Caoimhin Kelleher,158.5,11,128,186
Thierno Barry,159.0,2,149,169
Micky van de Ven,160.0,2,148,172
Calvin Bassey,160.0,1,160,160
Joao Gomes,160.0,2,150,170
Jacob Ramsey,160.0,1,160,160
James Trafford,160.4,9,130,190
Hugo Ekitike,160.8,4,128,186
Luke Shaw,161.0,1,161,161
Ben White,161.0,3,147,171
Jaden Philogene,161.2,5,148,176
Marcus Rashford,161.3,3,154,168
Callum Hudson-Odoi,161.7,6,113,191
Gianluigi Donnarumma,162.5,11,142,187
Georginio Rutter,162.8,4,158,165
Jaydee Canvot,163.0,6,146,191
Mohamed Belloumi,163.0,4,127,189
Sasa Lukic,163.5,2,158,169
Dan Ndoye,164.0,4,158,176
Milan van Ewijk,164.0,5,131,178
Ryan Sessegnon,164.0,2,136,192
Matt O'Riley,165.0,2,159,171
Alisson,166.0,7,141,190
H. Morita,166.0,1,166,166
William Saliba,166.5,4,132,188
Haji Wright,166.7,3,146,188
Brenden Aaronson,169.0,2,153,185
Dara O'Shea,170.0,1,170,170
Boubacar Kamara,170.5,2,163,178
Bart Verbruggen,170.5,2,153,188
Emiliano Martinez,170.6,5,155,190
Nick Pope,171.0,3,144,188
Andrey Santos,171.0,2,160,182
Max Dowman,171.2,4,153,189
Dean Henderson,172.7,3,137,192
Senne Lammens,173.4,8,149,191
Carlos Alcaraz,174.0,2,172,176
Yasin Ayari,177.5,4,164,185
Alex Jimenez,178.0,1,178,178
Vitalii Mykolenko,178.0,1,178,178
Michael Keane,180.0,2,176,184
Jack Clarke,182.0,1,182,182
Vitaly Janelt,183.0,1,183,183
Abdukodir Khusanov,183.0,1,183,183
Jamie Gittens,184.0,1,184,184
Victor Torp,186.0,1,186,186
Matz Sels,187.3,3,183,190
Ephron Mason-Clark,187.5,2,185,190
Charalampos Kostoulas,189.0,2,186,192
Ehor Yarmolyuk,191.0,1,191,191
Jack Rudoni,192.0,1,192,192
E. Correia,192.0,1,192,192
